PAIS,PAIS_ISO3,CONTINENTE,ISO_CONTINENTE,OMS_REGION,FUENTE_DATOS,FECHA_ULT_ACTUALIZACION,TOTAL_VACUNACION_ACUM,NPER_VACUNADAS_1DOSIS,TOTAL_VACUNACION_PER100,NPER_VACUNADAS_1DOSIS_PER100,NPER_VACUNADAS_DOSIS_FULL,NPER_VACUNADAS_DOSIS_FULL_PER100,FECHA_PRIMERA_VACUNA,N_TIPOS_VACUNAS_USADAS,NPER_CON_DOSIS_ADICIONAL,NPER_CON_DOSIS_ADIDICIONAL_PER100
Albania,ALB,Europe,EU,EURO,REPORTING,16-07-2023,3087677.0,1349150,107.3,47.26,1279231,44.811,13-01-2021,6.0,401767.0,14.074
Chile,CHL,South America,SA,AMRO,REPORTING,02-06-2023,66273384.0,18106832,346.687,94.72,17716364,92.677,21-12-2020,5.0,15766986.0,82.48
Congo,COG,Africa,AF,AFRO,REPORTING,31-07-2022,833210.0,695760,15.1,12.609,654119,11.854,23-03-2021,4.0,0.0,0.0
Côte d’Ivoire,CIV,Africa,AF,AFRO,REPORTING,19-02-2023,25263932.0,13568372,95.776,51.438,12164304,46.115,01-03-2021,5.0,3138712.0,11.899
Denmark,DNK,Europe,EU,EURO,REPORTING,20-08-2023,14943741.0,4754913,256.6,80.956,4719688,80.357,16-12-2020,5.0,3624228.0,61.706
Greenland,GRL,North America,NA,EURO,OWID,14-03-2022,79738.0,41227,140.453,72.619,38511,67.834,0,1.0,0.0,0.0
Guernsey,GGY,Europe,EU,EURO,OWID,19-12-2022,178525.0,54223,276.92,84.108,52710,81.761,0,3.0,69339.0,107.556
Guinea,GIN,Africa,AF,AFRO,REPORTING,02-04-2023,10645240.0,7679918,81.058,58.479,4725982,35.986,05-03-2021,6.0,302545.0,2.304
Guinea-Bissau,GNB,Africa,AF,AFRO,REPORTING,04-06-2023,825234.0,733271,41.933,37.26,533741,27.121,02-04-2021,2.0,48801.0,2.48
Guyana,GUY,South America,SA,AMRO,REPORTING,02-06-2023,960133.0,495285,122.069,62.969,381984,48.564,11-02-2021,7.0,77874.0,9.901
Hungary,HUN,Europe,EU,EURO,REPORTING,06-08-2023,16570437.0,6358635,169.6,65.627,6152003,63.495,23-12-2020,8.0,3868653.0,39.928
Japan,JPN,Asia,AS,WPRO,REPORTING,03-10-2023,409826682.0,104707550,324.034,82.788,103388112,81.745,17-02-2021,4.0,86596573.0,68.469
Kyrgyzstan,KGZ,Asia,AS,EURO,REPORTING,18-06-2023,3167393.0,1528725,48.5,23.419,1337850,20.495,31-03-2021,6.0,300818.0,4.608
Mauritius,MUS,Africa,AF,AFRO,REPORTING,30-07-2023,2616012.0,1123773,205.699,88.363,1088142,85.561,26-01-2021,3.0,654507.0,51.464
Mongolia,MNG,Asia,AS,WPRO,REPORTING,17-03-2023,5668144.0,2284018,172.899,69.671,2185282,66.659,23-02-2021,6.0,1058839.0,32.299
North Macedonia,MKD,Europe,EU,EURO,REPORTING,07-05-2023,1862987.0,854570,89.4,40.629,838181,39.85,17-02-2021,7.0,161633.0,7.685
Seychelles,SYC,Africa,AF,AFRO,REPORTING,09-04-2023,224558.0,88520,228.332,90.008,83565,84.97,10-01-2021,4.0,44936.0,45.691
Trinidad and Tobago,TTO,North America,NA,AMRO,REPORTING,02-06-2023,1589640.0,754399,113.587,53.905,718969,51.374,17-02-2021,5.0,174836.0,12.493
Turkmenistan,TKM,Asia,AS,EURO,REPORTING,06-08-2023,16775970.0,4614869,278.2,72.768,4568901,72.044,24-02-2021,7.0,3816400.0,60.178
Uganda,UGA,Africa,AF,AFRO,REPORTING,28-05-2023,26406936.0,20033189,57.731,43.797,13061126,28.555,10-03-2021,5.0,764664.0,1.672
Ukraine,UKR,Europe,EU,EURO,REPORTING,27-02-2022,31668577.0,15774300,72.4,36.237,15153577,34.811,24-02-2021,6.0,741197.0,1.703
Yemen,YEM,Asia,AS,EMRO,REPORTING,17-09-2023,1287688.0,1041596,4.317,3.492,798451,2.677,20-04-2021,11.0,66565.0,0.223
Algeria,DZA,Africa,AF,AFRO,REPORTING,04-09-2022,15267442.0,7840131,34.817,17.879,6481186,14.78,30-01-2021,4.0,575651.0,1.313
Angola,AGO,Africa,AF,AFRO,REPORTING,17-09-2023,27309449.0,16406741,83.093,49.92,9472763,28.822,10-03-2021,1.0,2816195.0,8.569
Armenia,ARM,Asia,AS,EURO,REPORTING,03-09-2023,2163656.0,1124306,73.0,40.284,998071,35.761,27-01-2021,10.0,47379.0,1.698
Aruba,ABW,North America,NA,AMRO,REPORTING,02-06-2023,216974.0,90449,203.224,84.717,84297,78.955,17-02-2021,2.0,35659.0,33.399
Brazil,BRA,South America,SA,AMRO,REPORTING,02-06-2023,513329718.0,188746389,241.499,88.797,171459392,80.664,17-01-2021,5.0,110382337.0,51.93
Burkina Faso,BFA,Africa,AF,AFRO,REPORTING,23-07-2023,7893609.0,6089089,37.763,29.13,5232347,25.031,02-06-2021,3.0,4056.0,0.019
Costa Rica,CRI,North America,NA,AMRO,REPORTING,02-06-2023,13371989.0,4641899,262.499,91.123,4358863,85.567,24-12-2020,3.0,2957974.0,58.066
Dominica,DMA,North America,NA,AMRO,REPORTING,02-06-2023,67647.0,32995,93.966,45.832,30659,42.587,12-02-2021,5.0,3993.0,5.547
Finland,FIN,Europe,EU,EURO,REPORTING,13-08-2023,13264351.0,4547574,240.1,81.964,4365072,78.675,23-12-2020,5.0,3088576.0,55.668
French Guiana,GUF,South America,SA,AMRO,REPORTING,02-06-2023,242193.0,100299,81.087,33.581,90464,30.288,13-01-2021,3.0,46331.0,15.512
Gabon,GAB,Africa,AF,AFRO,REPORTING,05-02-2023,572672.0,311244,25.73,13.984,257471,11.568,23-03-2021,3.0,2592.0,0.116
Haiti,HTI,North America,NA,AMRO,REPORTING,02-06-2023,664150.0,521396,5.825,4.573,350403,3.073,0,2.0,0.0,0.0
Iceland,ISL,Europe,EU,EURO,REPORTING,16-04-2023,869976.0,307269,238.9,81.685,297921,79.182,30-12-2020,5.0,254556.0,67.656
Jersey,JEY,Europe,EU,EURO,OWID,29-01-2023,266953.0,84365,247.646,78.264,81882,75.96,0,3.0,73662.0,68.335
Lebanon,LBN,Asia,AS,EMRO,REPORTING,22-12-2022,5814699.0,2740227,85.192,40.147,2414223,35.371,14-02-2021,10.0,660249.0,9.673
Malaysia,MYS,Asia,AS,WPRO,REPORTING,24-09-2023,72809444.0,28133609,224.957,86.923,27546607,85.11,24-02-2021,8.0,16340805.0,50.488
Marshall Islands,MHL,Oceania,OC,WPRO,REPORTING,24-03-2023,110742.0,47077,187.083,79.53,40689,68.738,29-12-2020,3.0,18559.0,31.353
Myanmar,MMR,Asia,AS,SEARO,REPORTING,02-05-2023,89454913.0,40354937,164.41,74.169,35196377,64.688,27-01-2021,2.0,13903599.0,25.553
Oman,OMN,Asia,AS,EMRO,REPORTING,25-10-2022,7086050.0,3257365,138.762,63.787,3048826,59.703,29-12-2020,11.0,779859.0,15.272
Pakistan,PAK,Asia,AS,EMRO,REPORTING,26-09-2023,340055064.0,165567890,153.946,74.954,140475871,63.595,03-02-2021,11.0,52233295.0,23.646
Republic of Moldova,MDA,Europe,EU,EURO,REPORTING,27-08-2023,2290848.0,1109177,0.0,36.23,1078747,35.236,03-03-2021,7.0,404345.0,13.207
Saint Kitts and Nevis,KNA,North America,NA,AMRO,REPORTING,02-06-2023,64297.0,33794,120.877,63.532,27000,50.76,22-02-2021,3.0,3465.0,6.514
Slovenia,SVN,Europe,EU,EURO,REPORTING,04-06-2023,3027801.0,1229982,144.5,58.371,1200324,56.964,03-03-2021,8.0,654233.0,31.048
Somalia,SOM,Africa,AF,EMRO,REPORTING,25-07-2023,10555834.0,8972167,66.417,56.453,7666835,48.24,16-03-2021,11.0,28134.0,0.177
Togo,TGO,Africa,AF,AFRO,REPORTING,03-09-2023,3412326.0,2251640,41.218,27.198,1554066,18.772,10-03-2021,1.0,427804.0,5.168
Tokelau,TKL,Oceania,OC,WPRO,REPORTING,05-12-2022,6342.0,2203,469.778,163.185,2203,163.185,20-07-2021,1.0,968.0,71.704
Tunisia,TUN,Africa,AF,EMRO,REPORTING,20-06-2023,13253317.0,7218871,112.139,61.08,6401841,54.167,13-03-2021,10.0,1258577.0,10.649
Argentina,ARG,South America,SA,AMRO,REPORTING,07-10-2022,109652736.0,41324100,242.617,91.434,37840119,83.725,29-12-2020,7.0,30810184.0,68.17
Australia,AUS,Oceania,OC,WPRO,REPORTING,05-10-2023,68770769.0,22193733,269.691,87.035,21602288,84.715,21-02-2021,5.0,14402265.0,56.48
Bahrain,BHR,Asia,AS,EMRO,REPORTING,21-12-2022,3476633.0,1241174,204.319,72.943,1226796,72.098,04-11-2020,11.0,1008663.0,59.278
British Virgin Islands,VGB,North America,NA,AMRO,REPORTING,02-06-2023,41453.0,19466,137.094,64.378,18261,60.393,11-02-2021,3.0,3726.0,12.323
Egypt,EGY,Africa,AF,EMRO,REPORTING,21-05-2023,112673535.0,56907319,110.103,55.609,42337175,41.371,24-01-2021,10.0,15217352.0,14.87
El Salvador,SLV,North America,NA,AMRO,REPORTING,02-06-2023,11426688.0,4656627,176.169,71.793,4393762,67.74,17-02-2021,6.0,1898202.0,29.265
Eswatini,SWZ,Africa,AF,AFRO,REPORTING,04-06-2023,870205.0,526050,75.007,45.343,427335,36.834,19-03-2021,3.0,179450.0,15.468
Greece,GRC,Europe,EU,EURO,REPORTING,03-09-2023,21985377.0,7917117,205.1,75.691,7745426,74.05,23-12-2020,7.0,5902329.0,56.429
Guam,GUM,Oceania,OC,WPRO,REPORTING,31-01-2023,352698.0,135612,208.975,80.351,128788,76.308,04-01-2021,3.0,83603.0,49.535
India,IND,Asia,AS,SEARO,REPORTING,27-06-2023,2206737729.0,1025823823,159.908,74.335,952120865,68.994,16-01-2021,8.0,228793041.0,16.579
Latvia,LVA,Europe,EU,EURO,REPORTING,13-08-2023,2979624.0,1344386,156.2,71.672,1304787,69.561,30-12-2020,9.0,550901.0,29.37
Lesotho,LSO,Africa,AF,AFRO,REPORTING,19-03-2023,1339097.0,1014073,62.509,47.337,938088,43.79,10-03-2021,3.0,177816.0,8.3
Luxembourg,LUX,Europe,EU,EURO,REPORTING,06-08-2023,1337890.0,469283,213.7,72.712,462711,71.694,30-12-2020,8.0,368510.0,57.098
Montserrat,MSR,North America,NA,AMRO,REPORTING,02-06-2023,4619.0,2104,92.398,42.088,1952,39.048,08-02-2021,2.0,563.0,11.262
Namibia,NAM,Africa,AF,AFRO,REPORTING,10-09-2023,1005582.0,629473,39.576,24.774,550656,21.672,19-03-2021,4.0,298560.0,11.75
Papua New Guinea,PNG,Oceania,OC,WPRO,REPORTING,01-10-2023,538713.0,394941,6.021,4.414,333747,3.73,30-03-2021,4.0,36825.0,0.412
Portugal,PRT,Europe,EU,EURO,OWID,01-09-2023,28196689.0,9791341,273.9,94.584,8906354,86.035,23-12-2020,12.0,0.0,0.0
Qatar,QAT,Asia,AS,EMRO,REPORTING,07-05-2023,7609178.0,2852178,264.111,98.998,2852178,98.998,0,10.0,1904822.0,66.115
Saudi Arabia,SAU,Asia,AS,EMRO,REPORTING,25-04-2023,68534631.0,27041364,196.86,77.674,25433941,73.057,06-01-2021,10.0,16059326.0,46.129
Senegal,SEN,Africa,AF,AFRO,REPORTING,10-09-2023,3152562.0,2684696,18.828,16.034,1503332,8.978,23-02-2021,3.0,815965.0,4.873
Sint Maarten,SXM,Sin Determinar,Z9,AMRO,REPORTING,02-06-2023,66829.0,29788,155.844,69.465,26773,62.434,22-02-2021,3.0,9146.0,21.328
South Africa,ZAF,Africa,AF,AFRO,REPORTING,04-06-2023,38882146.0,24210953,65.559,40.822,21038797,35.473,17-02-2021,2.0,4410601.0,7.437
Sri Lanka,LKA,Asia,AS,SEARO,REPORTING,30-10-2022,40116590.0,17143761,187.345,80.061,14752827,68.896,29-01-2021,6.0,8220002.0,38.387
United Arab Emirates,ARE,Asia,AS,EMRO,REPORTING,06-07-2022,24922054.0,9991089,251.982,101.018,9792266,99.008,0,11.0,5138699.0,51.956
United States of America,USA,North America,NA,AMRO,REPORTING,02-06-2023,668882018.0,267321711,202.078,80.761,227948938,68.866,14-12-2020,4.0,116629517.0,35.235
Uzbekistan,UZB,Asia,AS,EURO,REPORTING,13-08-2023,80700978.0,22087418,241.1,64.808,18438157,54.1,28-04-2021,9.0,16118818.0,47.295
Wallis and Futuna,WLF,Oceania,OC,WPRO,REPORTING,23-01-2023,17303.0,7150,153.859,63.578,6803,60.493,19-03-2021,1.0,3350.0,29.788
Andorra,AND,Europe,EU,EURO,REPORTING,06-08-2023,157062.0,57912,203.3,73.275,53501,67.694,20-01-2021,4.0,43070.0,54.496
Anguilla,AIA,North America,NA,AMRO,REPORTING,02-06-2023,24611.0,10854,164.051,72.35,10380,69.191,05-02-2021,2.0,3046.0,20.304
Bahamas,BHS,North America,NA,AMRO,REPORTING,02-06-2023,366359.0,174810,93.163,44.453,166972,42.46,14-03-2021,4.0,33717.0,8.574
Barbados,BRB,North America,NA,AMRO,REPORTING,02-06-2023,381721.0,163846,132.83,57.015,155036,53.949,08-01-2021,5.0,62839.0,21.867
Belarus,BLR,Europe,EU,EURO,REPORTING,13-08-2023,22476401.0,6440581,237.9,67.242,6355954,66.359,03-02-2021,5.0,5719809.0,59.717
Belize,BLZ,North America,NA,AMRO,REPORTING,02-06-2023,510770.0,258456,128.454,64.999,221408,55.682,01-03-2021,5.0,50238.0,12.634
Benin,BEN,Africa,AF,AFRO,REPORTING,18-12-2022,4232541.0,3697190,34.913,30.497,2742837,22.625,29-03-2021,5.0,0.0,0.0
Bermuda,BMU,North America,NA,AMRO,REPORTING,02-06-2023,132042.0,48554,212.037,77.97,47657,76.529,11-01-2021,3.0,31829.0,51.112
Bolivia (Plurinational State of),BOL,South America,SA,AMRO,REPORTING,02-06-2023,16016290.0,7492606,137.208,64.187,6295624,53.933,30-01-2021,7.0,2487668.0,21.311
"Bonaire, Sint Eustatius and Saba",BES,North America,NA,AMRO,OWID,01-09-2021,35845.0,19109,137.934,73.533,16736,64.401,0,2.0,0.0,0.0
Botswana,BWA,Africa,AF,AFRO,REPORTING,07-05-2023,3171667.0,1951054,134.871,82.966,1663490,70.738,26-03-2021,6.0,507654.0,21.587
Cambodia,KHM,Asia,AS,WPRO,REPORTING,07-09-2023,47601597.0,15307310,284.716,91.557,14683075,87.823,10-02-2021,7.0,10746738.0,64.279
Cameroon,CMR,Africa,AF,AFRO,REPORTING,17-09-2023,4842306.0,3727930,18.241,14.043,3173644,11.955,12-04-2021,4.0,792556.0,2.986
Canada,CAN,North America,NA,AMRO,REPORTING,02-06-2023,97596974.0,32645232,258.589,86.495,31311576,82.962,14-12-2020,6.0,19776324.0,52.399
Chad,TCD,Africa,AF,AFRO,REPORTING,10-09-2023,8971575.0,5067129,54.619,30.848,4939822,30.073,04-06-2021,1.0,4042573.0,24.611
Croatia,HRV,Europe,EU,EURO,REPORTING,27-08-2023,5432918.0,2320196,133.9,60.109,2246604,58.167,23-12-2020,6.0,994504.0,25.749
French Polynesia,PYF,Oceania,OC,WPRO,REPORTING,17-07-2023,493692.0,195688,175.749,69.663,195688,69.663,18-01-2021,2.0,102317.0,36.424
Georgia,GEO,Asia,AS,EURO,REPORTING,28-05-2023,2739270.0,1300867,68.7,34.616,1187212,31.592,17-03-2021,4.0,251191.0,6.684
Grenada,GRD,North America,NA,AMRO,REPORTING,02-06-2023,90686.0,44241,80.593,39.317,39034,34.69,15-02-2021,5.0,7411.0,6.586
Indonesia,IDN,Asia,AS,SEARO,REPORTING,06-06-2023,447595845.0,203845350,163.641,74.526,174893201,63.941,13-01-2021,7.0,68857294.0,25.174
Iran (Islamic Republic of),IRN,Asia,AS,EMRO,REPORTING,15-08-2023,155445801.0,65194977,185.07,77.62,58582625,69.747,09-02-2021,12.0,28576234.0,34.022
Kenya,KEN,Africa,AF,AFRO,REPORTING,02-04-2023,23750431.0,14494372,44.169,26.956,11090440,20.625,05-03-2021,5.0,2000636.0,3.721
Kosovo,XKX,Sin Determinar,Z9,EURO,REPORTING,15-01-2023,1836901.0,904558,0.0,50.758,824752,46.279,31-03-2021,2.0,105624.0,5.927
Liberia,LBR,Africa,AF,AFRO,REPORTING,11-12-2022,4460668.0,3903802,88.196,77.186,3730967,73.768,01-04-2021,1.0,1987.0,0.039
Madagascar,MDG,Africa,AF,AFRO,REPORTING,30-07-2023,3092063.0,2710365,11.166,9.788,2628849,9.494,10-05-2021,3.0,169187.0,0.611
Mauritania,MRT,Africa,AF,AFRO,REPORTING,20-08-2023,4075704.0,2103721,87.656,45.245,1540533,33.132,26-03-2021,2.0,383885.0,8.256
Nepal,NPL,Asia,AS,SEARO,REPORTING,20-06-2023,62086946.0,27804935,213.088,95.429,24389063,83.705,27-01-2021,8.0,9892948.0,33.953
