Country Name,Country Code,Indicator Name,Indicator Code,2018,2019,2020,2021,2022,PAIS_ISO2
Afghanistan,AFG,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,31.1,32.45,33.8,35.4,,AF
Afghanistan,AFG,Access to electricity (% of population),EG.ELC.ACCS.ZS,93.4308776855469,97.7,97.7,97.7,,AF
Afghanistan,AFG,Adequacy of social insurance programs (% of total welfare of beneficiary households),per_si_allsi.adq_pop_tot,,,,,,AF
Afghanistan,AFG,Adequacy of social safety net programs (% of total welfare of beneficiary households),per_sa_allsa.adq_pop_tot,,,,,,AF
Afghanistan,AFG,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,,,,,,AF
Afghanistan,AFG,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,,,,,,AF
Afghanistan,AFG,"Air transport, passengers carried",IS.AIR.PSGR,1125367.0,1066747.35619248,449041.025,293212.994,,AF
Afghanistan,AFG,"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)",ER.H2O.FWDM.ZS,0.9983851096,0.9983851096,0.9983851096,,,AF
Afghanistan,AFG,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,11.0836292401481,,,,,AF
Afghanistan,AFG,Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,70.7626396343786,69.5786264163716,86.8874671818995,,,AF
Afghanistan,AFG,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,36.927,36.466,36.051,35.842,,AF
Afghanistan,AFG,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,58.8,,61.8,,,AF
Afghanistan,AFG,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,,32.9304513537869,,,,AF
Afghanistan,AFG,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,,17.2884637273119,,,,AF
Afghanistan,AFG,"Cause of death, by non-communicable diseases (% of total)",SH.DTH.NCOM.ZS,,49.7810848710223,,,,AF
Afghanistan,AFG,"Community health workers (per 1,000 people)",SH.MED.CMHW.P3,,,,,,AF
Afghanistan,AFG,Control of Corruption: Estimate,CC.EST,-1.48977172374725,-1.40771043300629,-1.48053777217865,-1.14237689971924,,AF
Afghanistan,AFG,Control of Corruption: Percentile Rank,CC.PER.RNK,4.807692527771,6.25,4.807692527771,12.5,,AF
Afghanistan,AFG,Coverage of social insurance programs (% of population),per_si_allsi.cov_pop_tot,,,,,,AF
Afghanistan,AFG,Coverage of social protection and labor programs (% of population),per_allsp.cov_pop_tot,,,,,,AF
Afghanistan,AFG,Coverage of social safety net programs (% of population),per_sa_allsa.cov_pop_tot,,,,,,AF
Afghanistan,AFG,"Current education expenditure, total (% of total expenditure in public institutions)",SE.XPD.CTOT.ZS,,,,,,AF
Afghanistan,AFG,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,14.20841891,14.8313194,15.53361392,16.82606226,,AF
Afghanistan,AFG,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,299.822543673828,321.525376737099,322.525614744969,,,AF
Afghanistan,AFG,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.981,6.791,7.113,7.344,,AF
Afghanistan,AFG,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,,,,10.9,,AF
Afghanistan,AFG,Disaster risk reduction progress score (1-5 scale; 5=best),EN.CLC.DRSK.XQ,,,,,,AF
Afghanistan,AFG,Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,3.88780427,3.35139465,7.63642311,3.3027213,,AF
Afghanistan,AFG,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,0.55239552,0.49705607,1.18621242,0.55571794,,AF
Afghanistan,AFG,Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,1.90904689,1.77526009,4.24602795,1.94809996,,AF
Afghanistan,AFG,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,76.37773895,76.818367,76.23153687,77.34925296,,AF
Afghanistan,AFG,"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",SE.PRM.CUAT.ZS,,,,15.2469596862793,,AF
Afghanistan,AFG,External health expenditure (% of current health expenditure),SH.XPD.EHEX.CH.ZS,19.73445702,19.83023643,16.13204002,19.34802574,,AF
Afghanistan,AFG,Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,0.04360971,0.052113481,0.06817675,0.066260241,,AF
Afghanistan,AFG,Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,0.348337974,0.356467539,0.374079184,0.363563481,,AF
Afghanistan,AFG,Forest area (% of land area),AG.LND.FRST.ZS,1.85278199408184,1.85278199408184,1.85278199408184,,,AF
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,18418860354.4238,18904502222.2108,20143451705.7548,14583135236.5744,,AF
Afghanistan,AFG,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,104.524792865653,111.341356165496,120.0501064192,120.623260357627,,AF
Afghanistan,AFG,GDP deflator: linked series (base year varies by country),NY.GDP.DEFL.ZS.AD,104.524792865653,111.341356165496,120.0501064192,120.623260357627,,AF
Afghanistan,AFG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.18922812838034,3.911603419423,-2.35110067344623,-20.6999999939715,,AF
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,502.057099211089,500.52298078433,516.866797351726,363.674087113049,,AF
Afghanistan,AFG,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,,,,,,AF
Afghanistan,AFG,Gini index,SI.POV.GINI,,,,,,AF
Afghanistan,AFG,GNI growth (annual %),NY.GNP.MKTP.KD.ZG,,,,,,AF
Afghanistan,AFG,GNI per capita growth (annual %),NY.GNP.PCAP.KD.ZG,,,,,,AF
Afghanistan,AFG,Gross national expenditure (% of GDP),NE.DAB.TOTL.ZS,,,,,,AF
Afghanistan,AFG,Human capital index (HCI) (scale 0-1),HD.HCI.OVRL,0.393489241600037,,0.400284141302109,,,AF
Afghanistan,AFG,"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,72.0,72.0,70.0,66.0,,AF
Afghanistan,AFG,"Immunization, HepB3 (% of one-year-old children)",SH.IMM.HEPB,72.0,72.0,70.0,66.0,,AF
Afghanistan,AFG,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,71.0,64.0,66.0,63.0,,AF
Afghanistan,AFG,"Incidence of HIV, all (per 1,000 uninfected population)",SH.HIV.INCD.TL.P3,0.03,0.03,0.03,0.04,,AF
Afghanistan,AFG,"Incidence of malaria (per 1,000 population at risk)",SH.MLR.INCD.P3,22.4021474376735,14.2025372213781,8.42704502562001,6.25162836523018,,AF
Afghanistan,AFG,"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,189.0,189.0,189.0,189.0,,AF
Afghanistan,AFG,Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (% of poverty line),SH.UHC.NOP1.ZG,,,,,,AF
Afghanistan,AFG,Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (% of poverty line),SH.UHC.NOP2.ZG,,,,,,AF
Afghanistan,AFG,Individuals using the Internet (% of population),IT.NET.USER.ZS,16.8,17.6,18.4,,,AF
Afghanistan,AFG,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.626149149168811,2.30237251516844,,,,AF
Afghanistan,AFG,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,6.74357283538399,7.18039716624779,6.59443908400367,4.02249785795131,,AF
Afghanistan,AFG,Land area (sq. km),AG.LND.TOTL.K2,652230.0,652230.0,652230.0,,,AF
Afghanistan,AFG,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,ER.H2O.FWST.ZS,54.7570194384,54.7570194384,54.7570194384,,,AF
Afghanistan,AFG,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,66.458,66.677,65.432,65.279,,AF
Afghanistan,AFG,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,59.923,60.619,59.866,58.915,,AF
